entity,wikipedia_it,wikipedia_en,wikidata,viaf,geonames,type
Francia,https://it.wikipedia.org/wiki/Francia,https://en.wikipedia.org/wiki/France,https://www.wikidata.org/entity/Q142,https://viaf.org/viaf/264091107,https://www.geonames.org/3017382/republic-of-france.html,place
Freud,https://it.wikipedia.org/wiki/Sigmund_Freud,https://en.wikipedia.org/wiki/Sigmund_Freud,https://www.wikidata.org/entity/Q9215,https://viaf.org/viaf/34456780,,person
GAP,https://it.wikipedia.org/wiki/Gruppi_di_Azione_Patriottica,https://en.wikipedia.org/wiki/Gruppi_di_Azione_Patriottica,https://www.wikidata.org/entity/Q3777284,https://viaf.org/viaf/125949707,,organization
Galtieri,https://it.wikipedia.org/wiki/Leopoldo_Galtieri,https://en.wikipedia.org/wiki/Leopoldo_Galtieri,https://www.wikidata.org/entity/Q124993,https://viaf.org/viaf/3967008,,person
Garibaldi,https://it.wikipedia.org/wiki/Giuseppe_Garibaldi,https://en.wikipedia.org/wiki/Giuseppe_Garibaldi,https://www.wikidata.org/entity/Q539,https://viaf.org/viaf/100192194,,person
Germania,https://it.wikipedia.org/wiki/Germania,https://en.wikipedia.org/wiki/Germany,https://www.wikidata.org/entity/Q183,https://viaf.org/viaf/189116956,https://www.geonames.org/2921044/federal-republic-of-germany.html,place
Gerusalemme,https://it.wikipedia.org/wiki/Gerusalemme,https://en.wikipedia.org/wiki/Jerusalem,https://www.wikidata.org/entity/Q1218,https://viaf.org/viaf/131280745,https://www.geonames.org/281184/jerusalem.html,place
Gestapo,https://it.wikipedia.org/wiki/Gestapo,https://en.wikipedia.org/wiki/Gestapo,https://www.wikidata.org/entity/Q43250,https://viaf.org/viaf/134799226,,organization
Gesù,https://it.wikipedia.org/wiki/Ges%C3%B9,https://en.wikipedia.org/wiki/Jesus,https://www.wikidata.org/entity/Q302,https://viaf.org/viaf/141145970137232251241,,person
George,https://it.wikipedia.org/wiki/Stefan_George,https://en.wikipedia.org/wiki/Stefan_George,https://www.wikidata.org/entity/Q57187,https://viaf.org/viaf/46761592,,person
Giacomo,https://it.wikipedia.org/wiki/Giacomo_I_d%27Inghilterra,https://en.wikipedia.org/wiki/James_VI_and_I,https://www.wikidata.org/entity/Q79972,https://viaf.org/viaf/88905668,,person
Giappone,https://it.wikipedia.org/wiki/Giappone,https://en.wikipedia.org/wiki/Japan,https://www.wikidata.org/entity/Q17,https://viaf.org/viaf/159367111,https://www.geonames.org/1861060/japan.html,place
Giolitti,https://it.wikipedia.org/wiki/Giovanni_Giolitti,https://en.wikipedia.org/wiki/Giovanni_Giolitti,https://www.wikidata.org/entity/Q297190,https://viaf.org/viaf/27079739,,person
Giorgio Amendola,https://it.wikipedia.org/wiki/Giorgio_Amendola,https://en.wikipedia.org/wiki/Giorgio_Amendola,https://www.wikidata.org/entity/Q939831,https://viaf.org/viaf/12304040,,person
Giovanna,https://it.wikipedia.org/wiki/Giovanna_d%27Arco,https://en.wikipedia.org/wiki/Joan_of_Arc,https://www.wikidata.org/entity/Q7226,https://viaf.org/viaf/97108273,,person
Giovanna d'Arco,https://it.wikipedia.org/wiki/Giovanna_d%27Arco,https://en.wikipedia.org/wiki/Joan_of_Arc,https://www.wikidata.org/entity/Q7226,https://viaf.org/viaf/97108273,,person
Giovanni da Vicenza,https://it.wikipedia.org/wiki/Giovanni_da_Vicenza,https://en.wikipedia.org/wiki/John_of_Vicenza,https://www.wikidata.org/entity/Q3768438,https://viaf.org/viaf/304159474047827660445,,person
Giovanni il Buono,https://it.wikipedia.org/wiki/Giovanni_II_di_Francia,https://en.wikipedia.org/wiki/John_II_of_France,https://www.wikidata.org/entity/Q169992,https://viaf.org/viaf/42632679,,person
Girolamo,https://it.wikipedia.org/wiki/San_Girolamo,https://en.wikipedia.org/wiki/Jerome,https://www.wikidata.org/entity/Q44248,https://viaf.org/viaf/95147024,,person
Gyulay,https://it.wikipedia.org/wiki/Ferenc_Gyulay,https://en.wikipedia.org/wiki/Ferenc_Gyulay,https://www.wikidata.org/entity/Q698020,https://viaf.org/viaf/81036447,,person
Gobetti,https://it.wikipedia.org/wiki/Piero_Gobetti,https://en.wikipedia.org/wiki/Piero_Gobetti,https://www.wikidata.org/entity/Q532852,https://viaf.org/viaf/19697764,,person
Goffredo di Buglione,https://it.wikipedia.org/wiki/Goffredo_di_Buglione,https://en.wikipedia.org/wiki/Godfrey_of_Bouillon,https://www.wikidata.org/entity/Q76721,https://viaf.org/viaf/13555210,,person
Gorizia,https://it.wikipedia.org/wiki/Gorizia,https://en.wikipedia.org/wiki/Gorizia,https://www.wikidata.org/entity/Q6596,https://viaf.org/viaf/130184480,https://www.geonames.org/6541866/gorizia.html,place
Gradoli,https://it.wikipedia.org/wiki/Gradoli,https://en.wikipedia.org/wiki/Gradoli,https://www.wikidata.org/entity/Q161694,https://viaf.org/viaf/139824585,https://www.geonames.org/6536905/gradoli.html,place
Hitler,https://it.wikipedia.org/wiki/Adolf_Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler,https://www.wikidata.org/entity/Q352,https://viaf.org/viaf/38190770,,person
Inghilterra,https://it.wikipedia.org/wiki/Inghilterra,https://en.wikipedia.org/wiki/England,https://www.wikidata.org/entity/Q21,https://viaf.org/viaf/142995804,https://www.geonames.org/6269131/england.html,place
Irlanda,https://it.wikipedia.org/wiki/Irlanda,https://en.wikipedia.org/wiki/Ireland,https://www.wikidata.org/entity/Q27,https://viaf.org/viaf/158208597,https://www.geonames.org/2963597/ireland.html,place
Isonzo,https://it.wikipedia.org/wiki/Isonzo,https://en.wikipedia.org/wiki/So%C4%8Da,https://www.wikidata.org/entity/Q202760,https://viaf.org/viaf/241841162,https://www.geonames.org/3175409/fiume-isonzo.html,place
Israele,https://it.wikipedia.org/wiki/Israele,https://en.wikipedia.org/wiki/Israel,https://www.wikidata.org/entity/Q801,https://viaf.org/viaf/146498911,https://www.geonames.org/294640/state-of-israel.html,place
Istanbul,https://it.wikipedia.org/wiki/Istanbul,https://en.wikipedia.org/wiki/Istanbul,https://www.wikidata.org/entity/Q406,https://viaf.org/viaf/135931454,https://www.geonames.org/745044/istanbul.html,place
Italia,https://it.wikipedia.org/wiki/Italia,https://en.wikipedia.org/wiki/Italy,https://www.wikidata.org/entity/Q38,https://viaf.org/viaf/152361066,https://www.geonames.org/3175395/italian-republic.html,place
Ivrea,https://it.wikipedia.org/wiki/Ivrea,https://en.wikipedia.org/wiki/Ivrea,https://www.wikidata.org/entity/Q9409,https://viaf.org/viaf/133676505,https://www.geonames.org/3175385/ivrea.html,place
Jacquerie,https://it.wikipedia.org/wiki/Jacquerie,https://en.wikipedia.org/wiki/Jacquerie,https://www.wikidata.org/entity/Q7126013,,,event
Jacques Bonhomme,https://it.wikipedia.org/wiki/Jacques_Bonhomme,https://en.wikipedia.org/wiki/Guillaume_Cale,https://www.wikidata.org/entity/Q596460,https://viaf.org/viaf/294269692,,person
Jean de Joinville,https://it.wikipedia.org/wiki/Jean_de_Joinville,https://en.wikipedia.org/wiki/Jean_de_Joinville,https://www.wikidata.org/entity/Q328747,https://viaf.org/viaf/59191609,,person
Joanneville,https://it.wikipedia.org/wiki/Joinville_(Francia),"https://en.wikipedia.org/wiki/Joinville,_Haute-Marne",https://www.wikidata.org/entity/Q817418,https://viaf.org/viaf/146795004,https://www.geonames.org/6454267/joinville.html,place
